team,games,win,draw,loss,prizes,href_key
Bad News Bears,52,16,0,36,14000,bad-news-bears
Recca Esports,30,11,2,17,14000,recca-esports7478
Team MAX,25,9,3,13,14000,team-max
XSET,5,3,0,2,14000,xset
Дания,27,19,1,7,13796,2168
Dreamchasers,27,11,1,15,13775,dreamchasers1451
adwokacik,11,3,0,8,13625,adwokacik
Ancient,27,18,0,9,13600,terror-australis
Team LDLC White,21,6,0,15,13500,team-ldlc-white5458
Swole Patrol,84,37,0,47,13000,swole-patrol
Checkmate,9,3,0,6,13000,checkmate
Conquest,18,9,0,9,13000,conquest1930
HYENAS,13,6,0,7,13000,hyenas
NoChance,46,25,0,21,13000,nochance
Wyvern eSports,39,15,0,24,12844,dendd1474
Evolution,4,1,0,3,12750,evolution2382
YeaH! Gaming,20,5,0,15,12696,yeah-gaming
Neverland,2,2,0,0,12500,neverland
ENTERPRISE esports,27,10,0,17,12500,enterprise-esports
Falcons Esports,19,9,0,10,12000,falcons-esports
CSGL,92,43,11,38,12000,dobry-gaming
Nigma Galaxy,45,16,0,29,12000,galaxy-racer-esports
Squared Female,5,3,0,2,12000,squared-female
Team Immunity,29,9,3,17,11500,team-immunity-csgo
Mythic,50,5,0,45,11500,luminosity-gaming8893
Team BLINK,45,26,0,19,11378,team-blink
Quantum Bellator,8,3,0,5,11334,quantum-bellator13
100PingGods,42,19,0,23,11000,100pinggods
FATE eSports,112,41,0,71,10886,fate-esports-1
ex-3DMAX,18,9,0,9,10534,ex-3dmax
dAT Team,52,19,3,30,10500,courage-gaming-cs-go
ENCORE,54,22,2,30,10500,encore1859
ex-Windigo,6,0,0,6,10500,ex-windigo
Rebirth Esports,13,3,0,10,10500,rebirth-esports
Sangal Esports,67,27,0,40,10250,sangal-esports
D13,24,11,0,13,10250,d13
Torqued,23,10,0,13,10220,torqued7314
Blank,0,,,,10034,blank-cs-go
Isurus Gaming,52,20,0,32,10000,isurus-gaming
Belgium,12,6,1,5,10000,belgium
Beşiktaş Esports,6,3,0,3,10000,besiktas-esports-2
Crowns Esports Club,30,11,0,19,10000,crowns-esports-club1238
EHOME,59,27,2,30,10000,ehome-cs-go
LookingForOrg,15,5,0,10,10000,lookingfororg
MIBR Female,4,2,0,2,10000,mibr-female
Nameless,12,7,0,5,10000,nameless
NAVI Javelins,12,8,0,4,10000,navi-javelins
Platinium,10,5,0,5,10000,platinium7827
Rare Atom,8,2,0,6,10000,rare-atom-1
Seed,14,9,0,5,10000,seed7934
Team Sweden,5,2,0,3,10000,team-sweden-1
Wings Up Gaming,11,5,0,6,9896,wings-up-gaming
Team Zero,1,0,0,1,9896,team-zero
Vexed Gaming,114,33,18,63,9592,vexed-gaming
CyberZen,36,21,0,15,9504,cyberzen1422
GoodJob,64,28,0,36,9500,goodjob9998
Alpha Red,32,14,2,16,9500,nspr-gaming8321
Dark Passage,39,17,4,18,9500,dark-passage
ESG!,54,28,3,23,9000,sk-gaming-cs-go
Giants Gaming,42,15,0,27,9000,giants-gaming-1
Outlaws,40,22,1,17,9000,outlaws2439
Team Quetzal,15,5,1,9,8750,team-quetzal4762
Bad News Eagles,35,20,0,15,8740,bad-news-eagles
MVP Academy,0,,,,8700,mvp-academy
against All authority,49,16,0,33,8500,against-all-authority-csgo
Швеция,37,24,2,11,8265,3530
E-RIVALS,2,0,0,2,8265,ez4me
GAMERZONE.gg,2,0,0,2,8150,gamerzone-gg
Comanche,2,0,0,2,8000,comanche7081
Bren Esports,8,4,0,4,8000,bren-esports
Cyber Legacy,20,9,0,11,8000,cyber-legacy-1
Team Spirit Academy,39,18,0,21,8000,team-spirit-academy4233
Tortues Ninja,5,4,0,1,8000,tortues-ninja7945
Worst Players,13,5,0,8,7800,team-phenomenon8992
Method,28,7,1,20,7700,method9697
KKona,7,0,1,6,7500,kkona814
Akuma,35,15,0,20,7500,waitfortag
M1X,7,4,0,3,7500,m1x
Orbit Esport,26,16,0,10,7500,orbit-gaming
Team Kaliber,7,0,0,7,7500,team-kaliber
VG.FlashGaming,20,10,0,10,7500,vg-flashgaming
Россия,21,11,2,8,7311,5886
YaLLa Esports,14,4,1,9,7198,yalla-esports
expert eSport,91,25,11,55,6930,expert-esport
Planetkey Dynamics,50,15,3,32,6838,103832
Ardeont Academy,2,0,0,2,6800,ardeont-academy
Team StRoGo,4,3,0,1,6480,team-strogo
Begrip Gaming,0,,,,6363,begrip-gaming-cs-go
PyRoGEN,0,,,,6335,pyrogen-cs-go
XPC Red,4,2,0,2,6311,xpc-red8653
Goliath Gaming,6,2,0,4,6262,goliath-gaming
FrostFire,10,2,0,8,6250,frostfire
Apeks,97,45,0,52,6000,apeks
BOOM Esports,4,4,0,0,6000,boom-esports-1
Chosen5,16,4,2,10,6000,chosen55263
CNB e-Sports Club,0,,,,6000,cnb-e-sports-club-cs
ex-Titan,2,0,0,2,6000,ex-titan
Flow,22,10,0,12,6000,flow
G3nerationX,11,4,1,6,6000,g3nerationx
High Coast Esports,8,4,0,4,6000,high-coast-esports-1
Japaleno,94,39,0,55,6000,passions-cs
myXMG,30,9,0,21,6000,myxmg4025
New England Whalers,13,4,0,9,5874,new-england-whalers
Millenium,16,4,0,12,5750,millenium-csgo
BPro Gaming,59,26,0,33,5750,bpro-gaming2712
Lucid Dream,20,9,1,10,5500,lucid-dream
INTZ eSports,35,13,0,22,5500,intz-esports-1
KOVA Esports,28,9,0,19,5491,kova-esports
PACT,181,72,0,109,5477,pact
spray'n'pray,18,6,0,12,5406,spray-n-pray8792
ex-Ethereal,11,6,0,5,5240,ex-ethereal
unknown-,11,7,0,4,5200,unknown
OverGaming eSports Club,96,31,3,62,5092,wizards-cs-go
HastaLaVista,0,,,,5000,hastalavista
1337,9,5,0,4,5000,13374977
AGAiN,39,26,1,12,5000,universal-soldiers-cs-go
Avant Gaming,18,7,0,11,5000,avant-garde3153
FaZe Clan 2vs2,4,2,0,2,5000,faze-clan-2vs24244
FRENCH CANADIANS,23,10,2,11,5000,district75759
Ghost Academy,4,2,0,2,5000,ghost-academy
IHC Esports,12,6,0,6,5000,ihc-esports
Leapfrog,2,1,0,1,5000,leapfrog4849
myRevenge e.V.,7,4,0,3,5000,north-star9279
Não Tem Como,20,11,0,9,5000,nao-tem-como
New Happy,3,0,0,3,5000,new-happy
RBG Esports,14,1,0,13,5000,rbg-esports
Reason Gaming Female,21,13,0,8,5000,team-yp-female
Redemption POA,4,0,0,4,5000,redemption-poa
Reflex Esport Club,1,0,0,1,5000,reflex-esport-club
Riot Squad,13,3,0,10,5000,riot-squad
Rise Nation,41,19,3,19,5000,rise-nation959
Risky Gaming,11,5,0,6,5000,risky-gaming289
SLTV.selectah,8,7,0,1,5000,sltv-selectah7966
Space Soldiers 2vs2,5,3,0,2,5000,space-soldiers-2vs25796
Team LDLC.com Female,23,12,0,11,5000,team-ldlc-female7373
VwS Gaming,13,3,0,10,5000,vws-gaming9613
Ze Pug Godz,6,1,0,5,4842,ze-pug-godz5206
Elements Pro Gaming,75,26,0,49,4750,elements-pro-gaming-cs
Denial eSports,42,17,4,21,4527,denial-esports
BEZ ZP,2,1,0,1,4500,bez-zp
North Academy,49,24,1,24,4500,north-academy
Property,80,28,17,35,4430,team-property-csgo
Team Alientech,17,6,0,11,4391,alien-tech
Publiclir.se,36,10,2,24,4100,publiclir-se-cs-go
Wind and Rain,32,14,0,18,4056,wind-and-rain
777 Esports,9,5,0,4,4000,777-esports
ACES,46,15,0,31,4000,aces-csgo
All Gamers,11,3,1,7,4000,allgamers1101
AUGUST,4,2,0,2,4000,august
Demise,21,6,0,15,4000,demise
Dynasty Gaming Female,4,3,0,1,4000,dynasty-gaming-female
EMC,6,3,0,3,4000,emc
Encore ESC,5,2,0,3,4000,encore-esc
Iberian Family,5,2,0,3,4000,iberian-family
MiTH,2,0,0,2,4000,mith
NOFEAR5,12,6,0,6,4000,nofear5
Panda Gaming,12,4,1,7,4000,panda-gaming
Parallax,8,5,0,3,4000,parallax5588
Rugratz,5,1,0,4,4000,rugratz
Selfless,7,4,0,3,4000,selfless6467
Team nxl,15,5,0,10,4000,team-nxl9918
The Gatekeepers,2,1,0,1,4000,the-gatekeepers3899
TIGER,9,7,0,2,4000,tiger
TNC Pro Team,17,5,1,11,3750,tnc-pro-team
Spacestation Gaming,35,6,0,29,3743,spacestation-gaming
Pride Gaming,134,54,3,77,3714,pride-gaming
London Conspiracy Female,5,4,0,1,3650,london-conspiracy-female8344
Acer,5,1,0,4,3500,acer9408
GGWP.pro,27,9,1,17,3500,97club8065
NetcodeGuides.com,3,1,0,2,3500,denial-esports-cs-go
Team Expert Female,8,5,0,3,3400,team-expert-female5214
London Conspiracy,63,22,1,40,3400,h2k-gaming-cs-go
RCTIC eSports,15,4,0,11,3334,epiphany-bolt616
Trident Clan,22,9,0,13,3300,trident-clan-1
Weplay,2,1,0,1,3225,weplay7935
Team Preparation,37,12,2,23,3173,team-preparation
KAV0,2,1,0,1,3150,kav0
HLTV.org Staff,19,17,0,2,3012,hltv-org-staff9859
Team Söderberg &amp; Partners,3,1,0,2,3000,team-soderberg-partners
Ambush Esport Female,3,1,0,2,3000,ambush-esport-female
Argentina,4,1,0,3,3000,argentina6975
AVEZ,65,17,0,48,3000,avez
Beyond Esports,27,9,0,18,3000,beyond
BIG EQUIPA,14,5,0,9,3000,big-equipa
cantwinalan,5,0,0,5,3000,cantwinalan
carboN eSports,3,1,0,2,3000,carbon-esports3228
